review_text,stars
Как всегда на высоте❤️,5
"Заказывал пиццу в Додо Пицца — остался очень доволен Пицца горячая тесто мягкое и вкусное, начинки не жалеют. Особенно порадовала скорость доставки и удобство заказа через приложение. Персонал вежливый, всё аккуратно упаковано. Отличное место, когда хочется вкусно поесть без лишних",5
Самые вкусные пиццы🔥🔥🔥,5
Бәрі өте ұнады рақмет көп,5
"Всегда очень вкусная, горячая, доставка быстрая. Бывают и подарочки, Додокоины начисляются и можно что то купить.",5
Очень хорошее обслуживание 💕,5
Очень быстро! Как всегда вкусно просто объединения)))),5
Очень быстро. Очень вкусно.,5
"Әрі тез , әрі дәмді👍👍👍 бәрлығы үнады. Тазалығы да жақсы тек машинаға Парковка жок екен",5
Зарина супер,5
"Я являюсь постоянным клиентом и заказываю у вас пиццу почти каждый день. Сегодня мне отказали в доставке, сославшись на загруженность, и предложили указать другой адрес, чтобы я сама вышла и забрала заказ. Считаю такой подход абсолютно неприемлемым. Клиент не должен решать проблемы сервиса и подстраиваться под его неспособность организовать доставку. Очень разочарована, с таким отношением пропадает желание заказывать дальше",1
Пицца вкусная! Курьер вежливый!,5
"Очень вкусная пицца, приносят всегда горячую 10/10 советую",5
Додо пицца это чудо человеческой цивилизации,5
"Самая вкусная питса эвер! Целовала руки пиццамейкерам, менеджерам, водителям и всем, кто причастен к изготовлению этих шедевров",5
"Нравится все: и ассортимент, и горячее, выпечка, все очень вкусно). Доставка тоже оперативная, спасибо",5
"Из всех додошках самый лучший, быстро , вкусно и самое главное обслуживание на высшем уровне, очень нравится особенно с семьей лучше место не найти",5
"В Додо всегда вкусно, быстро и акции приятные 😊",5
Очень вкусно готовят пиццу и додстеры. Приятный персонал и оперативная доставка.,5
"Лучшая пиццерия в городе! 
Всегда вкусно, быстро и отличный сервис!",5
Очень быстрая доставка и вкусная пицца 😘😘😘,5
Быстро и вкусно👍,5
👍🏽👍🏽👍🏽👍🏽,5
"Хорошее место,пицца вкусная за свою цену очень хорошая.Вежливый персонал,много разных свободных мест,большой плюс что есть розетки для зарядки.Было бы круто если бы было больше напитков,например большой чайник чая,или большой морс,а так всё супер",5
Огонь,5
"Быстро сделали доставку, все еще горячее, спасибо",4
Супер пиццерия 👍👍👍,5
Өте дәмді😋,5
👍🏻👍🏻👍🏻,5
Найс👍👍,5
"Часто заказываю через приложение здесь еду на обед. В целом все устраивает, готовят ко времени которое нужно. Если б не нравилось не заказывала бы)",5
"Додо пицца всегда вкусно и во вреия, никогда не подводило. Спасибо, что вы есть. Сегодня порадовала моего сына и его друзей🤲❤️",5
сотрудники с приветом,1
"Вкусно, по стандарту. Тут претензий нет, хотела написать, к сожалению размер жодмтера и его поджаристость прямо разочарование.

Почему меня заставляют с кассы идти к терминалу читать, вычитывать, тыкать, потом ввести свой личный номер сотового телефона?
Потом никто не спрашивал согласия моего что бы моё имя светилось на экране! Вы просто взяли конфедициальную информацию, которая привязана к телефону, распространеяете ее на всех в зале и даже не предупреждаете. Оставили бы просто номер заказа. Зачем имя??!

Потом если гость обратился на кассу в приказом порядке отправлять к терминалу считаю НЕ красиво. На кассе только оплата налом.... ну странно и не приятно.
До тех пор пока не измените подход это последний раз пришла к вам и оплатила вашу работу. Очень печально.",3
Сания и Анеля топ🫶🏽🫶🏽🫶🏽,5
"11.01.2026 , все вкусно, чисто, сотрудники доброжелательные, всегда помогут 😍🔥",5
Все по человечески,5
С каждым разом всё меньше и меньше начинки( возможно тогда легче купить лепешку свежую? Грустно за этот момент…,3
"Само место не очень, столы грязные. Но пицца очень вкусная. Советую брать ветчину и сыр или двойной цыпленок",4
Хорошое заведение. Официант Сания самая лучшая 🤩🤩🤩,5
"Всегда вкусная пицца, быстро готовят. Буквально за пол часа доставляют горячку с пылу жару 👍",5
Тесто сырое,1
Ваще кайф тролили девку по имени Полина,5
Анеля топ,5
Оте ұзақ 1 сағ куттык адам келіп жатса жумыс ыститын қыздар озы озымен ойнап жур анаякта не увожительно сойлесет,1
"Специально ехали чтобы спокойно поесть пиццу, а дети чтобы в игровой поиграли. Но игровая не работает. Говорят сломана, хотя с виду все нормально.",1
онлайн заказываю только с этого филиала! Очень вкусно,5
"Заказали пиццу пеперони, задержали ее на целый час, так к тому же ее привезли не свежую не горячую даже будто бы на снегу лежала, хотя я думал что они ее везут всегда в термокоробках. Это все произошло впервые хотя до этого она всегда была свежая и вкусная, привозили ее вовремя",1
"Туалет не выглядит как тот за который обязательно нужно купить что-нибудь, все раздолбано,мусорка полная, помещение уборщицы открыто. колу мне налили в какой-то презервативный стакан который протекает, всю кофту себе уделал, протекает а проткнуть тяжело! Невозможный парадокс. Если копируете эти китайские чайные, копируйте нормально! Сотрудники отказались принимать оплату каспи QR, видимо терминала нет, сказали что QR только на кассе самообслуживания, лишнюю минуту потратил на этот терминал пока он грузился, а я как понимаете торопился раз претензии к туалету. Слава Аллаху туалет для инвалидов нормальный, хотя бы люди с ограниченными возможностями не будут мучаться здесь. Никому не рекомендую, лучше бы за 100 сходил в общественный чем за 700 брать колу в презике. Ужас.",1
Постоянно осы жерден тамақ ішетін едім бүгін барсам 0.5 сокқа ақша төледім маған 0.3 беріп тұр. Андағы кассир қызды ыңғайсыз жағдайға қалдырмайм шу шығарып деп кетіп қалып едім айттым үстінен төлейін деп қоймады енді бармайтын болдым,1
Тамак дәмі онша емес еще туалетке кіргізби койды🤢🤮,1
Дамы онша емес еще туалетке кыргызби койды,1
"Пицца вкусная, но негде пописять",5
"Зарине спасибо , приятная девушка на кассе 🐳💐",5
"Очень вкусно, обслуживание топ! Сания лучшая!😍",5
Кассадағы сотрудница Сания лучшаяя😍өте керемет көмек көрсетеді было приятно🫶,5
"Хочу выразить благодарность сотруднице Додо — Анеле. Очень вежливая, доброжелательная и внимательная к гостям. Заказ оформила быстро, всё объяснила, улыбчивая и приятная в общении. Видно, что человек любит свою работу и старается для клиентов. Благодаря таким сотрудникам хочется возвращаться снова. Спасибо Анеле и команде Додо! ⭐⭐⭐⭐⭐",5
"очень атмосферная пиццерия, но сегодня в заказе все было слегка подгорелым, а в картошке прямо чувствовался «уголек» , все равно вкусно, но хотелось бы видеть меньше такого",4
"Очень классное заведение, имеется игровая зона для детей. В меню множество вкусных позиций, советую попробовать кроме пиццы ещё и дэнвич или додстер. Обслуживание хорошее и уютная атмосфера☺️",5
Песто очень очень вкусный мне очень нравиться❤️,5
Вкусно,5
Это пицца вообще-то классная и я я пицу,5
Зарина самая крутая!!!!!Чисто из за нее 5 звезд.Красотка!!!!Зарина Тооппп!!Мисс Казахстан!!!,5
Аяулым топ Казакстанда осындай кыздар болса елимыз коркиеды топппп жумысын оте катты жасайды,5
Очень вкусная пицца и довольно уютная обстановка,5
"Все супер, повара вкусно готовят. На кассе очень добрые девчата стоят. Все чисто. Но мы пришли туда с дочкой а там в игровой воняет ночками, игрушки спрятаны, ничего не осталось чем ребёнок мог бы поиграть жаль.",5
"Зарина и Сания самые лучшие работники этого заведения, дайте им премию срочно 🥰🥰",5
Купил маленькую пиццу курица с сыром с собой пришли дамой посмотрел в итоге просто сырная пицца ужасссс 😢 ну как так можно,1
"Решили посетить наш любимый Додо, пришли с отличным настроением, но, к сожалению, одна сотрудница полностью испортила вечер. Пришли около 01:30 ночи, выбрали столик, сделали заказ и спокойно ждали. Через 10-15 минут сотрудница подошла и попросила нас в другой зал, сказав, что этот закрывается. Мы спокойно пересели.
Когда заказ был готов, она громко выкрикнула его, хотя видела, что мы заказали к столику. Мы несколько раз окликнули её - “девушка, это наш заказ”- подняли руку, но она продолжала игнорировать. В итоге пришлось самому вставать и забирать заказ. На вопрос, почему она игнорирует, услышал за спиной: “Өләәә шлиииии так что ли?”.
Когда я достал телефон, она громко сказала: “Отзыв жазайын деп жатыр, жазса жаза берсін”, и начала смеяться, после продолжала пристально смотреть. Чувствовали себя крайне неприятно и неуважительно, даже аппетит пропал.
Очень обидно сталкиваться с таким отношением в любимом заведении.",1
1 звезда потому что додо всегда должен быть на первом месте,1
"Пицца отличная была, но кофе и ответ заведения на кофе просто удивляет. Принесли кофе объмом 200мл вместо 400мл.. и какая то выдуманная история что пол стакана должна занимать пена, я этого подхода вообще не понимаю.",1
"Анеля и Аяулым лучшие сотрудники, срочно им премию 🥰🥰",5
Айналым и Алия қызмет жасағандары жақсы сыпайы ибалы қызымет көрсететін жандар екен.,5
"Девушка официант вроде Аяулым очень вежливая и милая, довольны сервисом и вкусом ничего не осталось😍",5
"Айлума — отличный оператор! Очень вежливая, быстро отвечает и всегда помогает по делу. Остался полностью доволен обслуживанием. Спасибо!",5
"Иду только к Аяулым.Она очень милая, а её сервис 🔥 всегда на высоте!",5
"Кассадағы Аяулым деген қызға рахмет,обслуживание өте жақсы🫶",5
Спасибо Аяулым за хорошее обслуживание.Она очень милая 🫶🫶❤️,5
"Обычно всегда было вкусно , но на этот раз как будто хлеб простой поела",3
Воще мощно,5
💔💔💔,4
"Все хорошо, все понравилось 👍
Пицца как всегда вкусная.",5
Клутой уллввлвлвллвлудущущузузу,5
"Тез дайындап берді, шай ыстық болса жақсы болар еді. 2 ретте де жылы қайнамаған су болды.",5
Сания и Айя 😍😍😍,5
"Не знаю как с вами связаться 
Можно ли забронировать у вас столик?",5
"Очень быстро сделали ))
Зарина красавчик 🫰",5
Зарина вы супер❤️,5
"все вкусно быстро , вежливые 🎀",5
Аяулым өте керемет қызмет көрсетеді❤️,5
"Здесь всегда очень вкусно и быстро, приходим сюда и каждый раз остаемся в восторге 🥰",5
"Касссадағы Зарина есімді қызға көп көп рақмет өте вежливый , тапсырыс тез , әрі өте дәмді жасап берді 🔥🔥👍🏼.",5
"Большой выбор еды 🤌 Давно заказывала грибной стартер и рулетики с корицей: было настолько вкусно, что помню вкус так отчетливо, будто ела вчера.",5
"Аяулым самая самая хорошая и вежливая😻 
Всегда просит помочь и выполняет свою работу на все 100 процентов💞",5
"Сервис өте жақсы, кассирша Аяулымның обслуживаниясы өте жоғары сапада, күліп қарсы алады🔥👌🏼",5
кассир Аяулым очень приятная и вежливая,5
кассир Аяулым очень вежливая и приятная женщина! спасибо за сервис❤️,5
"Такен деген бала молодец екен , пиццаны мықты жасайд",5
Очень вкусно!,5
Аяулым умница красавица. Избавила меня от ожидания пересменки.,5
"Норм, да",5
"Заказать пицца на вынос прождал 25 минут, подали на подносе, девушка принимавшую заказ внятно сказал что на вынос, незнаю чем слушала. Так то бессаорно что вкусно этого не отнять, осадок простой неприятный остался",2
Очень вкусно! Аяулым приняла заказ и повара быстро приготовили. Вкусно и сытно.,5
Приготовили быстро и вкусно!,5
"Шугыла,Аягөз one loveee😘🫶🏻",5
Быстро и вкусно!,5
Жаксы обслуживание содрудниктер карапайым жаксы адамдар,5
Аяулым топ,5
Тесто сырое! Второй раз привозят доставку с этого филиала и второй раз ужас. Тесто сырое. Пиперонни с ужасным привкусом.,2
Очень сочная и нежная пица. Вкус отменный 😋😋😋😋,5
"быстро и вкусно, и персонал очень вежливый",5
Вкусно и быстро,5
самая любимая додо пицца🩷,5
Оччч вкусно,5
"Забрали мою еду, когда просто отошел в уборную. Спасибо конечно за чистоту но не настолько же",1
Кушти❤️❤️❤️,4
"08 ноября приняли заказ. Прождал больше 25 минут в итоге оказалась, что передали мой заказ совсем другим лицам. Жалко потраченного времени. Сотрудники рассеянные, безответственные, совсем не контролируют процесс работы. Кассира надо уволить.",1
"Недавно заказывали еду в Додо Пицце, и остались очень довольны! 🍕 Пицца пришла горячая, с аппетитным запахом и очень вкусным сыром. Тесто мягкое, а начинка сочная и свежая. Курьер приехал вовремя, даже чуть раньше, чем ожидали, что приятно удивило.
Также понравилось обслуживание 
 сотрудники вежливые и быстро принимают заказ. Цены вполне доступные, особенно если учитывать качество. Единственное, хотелось бы, чтобы напитки были немного холоднее, но это мелочь.
В целом, Додо Пицца отличное место для вкусного ужина с друзьями или семьёй. Обязательно закажем снова! 😋",5
"Всегда вкусно,постоянный гость.Зарина и Баглан хорошо обслужили спасибо большое.",5
"Балдёжные ребята, особено Беглан❤️",5
"Все окей , еда вкусная , но получилась такая ситуация , полная посадка и нет свободных мест , вижу стол где свободно но стояли чьи то вещи ,там сидит кто то из главных , управляющая или администратор(как мне сказали),и мне пришлось пересесть за другой стол ,хорошо что тот стол освободился и я мог спокойно пересесть туда где было комфортно, я хотел бы узнать, тоесть мне нельзя сесть за тем столом если там стоят вещи кого то из главных этого заведения , но ее или его самой там нет ? Мне пришлось бы уйти даже если я сделал заказ ? Приемлимо ли такое ?",3
Хорошее место. Работаю круглосуточно. Готовят быстро и веусно. Посещаю довольно часто. Таежный чай мой фаворит среди напитков!,5
"Самы ужасные сотрудники работают здесь! Менеджеры не решают проблему! Фри недожаренный!!!!!!! Вы же ДОДО пицца, а позволяете своим сотрудникам хамить гостям!",1
Очень вкусно🤤 попробуйте песто пиццу),5
"Раньше доставка была с точки на улице Достык, почти всегда все было на хорошем уровне. Недавно сменили на доставку с точки на Сейфуллина Абая, качество заметно снизилось. Пицца приходила оставшая, либо сделанная на отшибись. Вчера курьер перепутал заказ, попросил 15 минут чтобы забрать заказ у своего коллеги, в итоге привез опять не то. При повторном заказе принесли пиццу которая прилипла к боковым стенкам. Что-то с Dodo происходит, пропали те улыбчивые и аккуратные курьеры, аккуратные и красивые пиццы. Для интереса напишу владельцу франшизоплучателю и франшизодателю, жалко ранее хорошо поставленный бизнес.",3
Ничем не отличается от других додо но все же вкусно,5
Ням ням,5
Очень вкусная пицца 🍕,5
Чотка,5
Слишком дорогоооо,3
Все вкусно,5
Комбо на одного очень дешёвый и сытный,5
Круто,5
вкусно,5
Бүгін бірінші рет келдім. Через планшет заказал додстер. Но маған басқасын берген. Мен бірінші рет болғаннан кейін білмедім. Кассир шатастырып алған. Нестиміз деп өзі білмейді.Ветчинамен беріп тұр.,1
"Больше не буду ходить в это филиал. В вт купила пиццу, и только его за весь день и съела к вечеру мне стало плохо,а к следующиму дню тошнила, в жизни так плохо не было,спасибо этому филиалу",1
"Списали деньги, но заказ так и не приняли. Сотрудники, которые здесь работают, вообще не знают приложение и ничего не знают и не могут помочь. Менеджеры колл центра переходить на ты, после чего просто отключают телефон",1
Сервис топ 🔥,5
"Тут вкусн пиццы, сыра много кладут в пиццу 👍🏼👏🏻👏🏻👏🏻",5
"Самый ужасный филиал! 
• В плане удобств: дверь уборная с пароль кодом, (вы серьезно?)
• Еда: пицца нарезана на отвали! прям крива! (Одна больше другая меньше* класс!)
Я не знаю кто за это отвечал мне все равно! сервис плохой!",1
самый хуший персонал худший кассир худший повар худший интерьер худший,1
молодцы ребята,5
Лучший Додо в городе!,5
"Колу из баклажки суют под разливную. Они заранее её заготавливают. Затем продают под 700. Теплая, совсем как из тұрып қалғанской баклажки колы",2
Қымбатт,1
Столы не убранны,5
"Вместо приятного послевкусия еды получили отравление на 4 дня 👍🏼

Невероятной ошибкой было зайти сюда в первый день путешествия. Отпуск был испорчен.",1
"Наш питак с девочками, 24/7 сидим тут. Любимое место, персонал хороший и вежливый. Парень за кассой напиши мне😏",5
😍,5
"Все вкусно, но столы постоянно не убраны",4
"Было очень вкусно 😋 
Кассирлар жұмыстарын өте жақсы атқарады, әсіресе кассир Аяулым 🥰 әрқашан келуге дайынмен додо ұжыма алғыс❤️",5
"Пицца хорошая, но расстановка сидений и вообще само помещение просто отвратительное… если сидит компания, то негде пройти, приходить видимо надо только парами и ко всему прочему тут еще тут сидят люди а-ля «удаленщики», которые занимают большой стол и просто сидят с одной чашкой кофе, при этом сотрудники тоже это видят и не контролируют.",2
"живот крутит после вашей пиццы, за свои деньги еще и купили отравление 👏🏻",1
"Спасибо вам большое за некачественный товар, взяли пиццу и отравились всей семьёй, два дня с унитаза не слазили по очереди. Буду искать другую пиццерию, ибо ещё раз такой опыт не нужен",1
"Мне дали замороженный морс. Я купила чтобы сразу пить. А морс со льдом. Я не посмотрела что замороженный, так как торопилась и с собой заказала. 

Пожалуйста, так не делайте.",1
Касса орысша сөйлеп тұрып алды,1
Вкусно!,5
"Екі балапанымды пицца жеуге әкелдім, мәз өздері😊Кассир Аяулым ханымға премия беріңіздер☺️",5
Аяулым кассадагы кыз оте жаксы тилек тилеп татти пиццасын берди ракмет ал бизге ас болсын ❤️,5
"ОБОЖАЮ
ДОДОООО ЛЮБОФЬ❤️",5
Быстро дешево вкусно,5
Всегда свежие и вкусные пиццы,5
"Заказали ребёнку на день рождения пиццы. Привезли засохшие пиццы, такое ощущение, что пиццы лежали 3 дня в коробке. Праздник испорчен, больше не будем покупать эту пиццу",1
"Плохой сервис, обслуживание. Нет газировки ни одного, как можно пиццу без газировки есть. Еще на доске написано готов заказ, но сказали что еще подождать. Мы заказали на подносе но дали в каробке.",1
"Спасибо большое, очень вкусно, постоянные клиенты. Жанерке отдельное спасибо
02.09 пришел еще раз, Анель спасибо",5
"Фрилері піспеген дәміде жоқ және кішкентай біз большой заказ беріп едік, кетчуп соустары жоқ 
 пиццасы жақсы бірақ соустары қымбат өте шумный жер.",1
Мне не понравилось Сказали здесь а собрали с собой и кассирша тупит,1
"Обслуживание на высочайшем уровне, сотрудники добрые, отзывчивые",5
додстер ужасный,1
"Заведение норм персонал ужасный! 

Ради того чтобы зайти в туалет пришлось воду за 600 купить! 

И именно в этот момент началась уборка! 

Уборщица неадекватная по человечески попросил зайти быстро! Она не впустила. Хотя еще не убиралась там! 
Выгнала меня!
 НЕАДЕКВАТНАЯ УВОЛЬТЕ ЕЕ БАСЫНА КЕЛСИН КЕРЕК КЕЗДЕ БУТЫНА ТЫШЫП КОЙ",1
Донер кішкентай бағасына не стойт,1
"Заказали с подругой новое комбо «Пиццони» и получили отравление, крутил сильно живот. Все еще не вылечились. Теперь ясно почему данное комбо по такой низкой цене. Ужасно!",1
имба,5
Зор ғо зор🔥🔥,5
Зор ғо,5
темааа,5
"Мирас красавчик ең үздік пиццамейкер 
😍",5
"Впервые увидел, что для туалета нужно получить код от сотрудников 😅 А так все топ, как обычно",5
Лучшая пиццерия в городе!!!,5
"Отличное обслуживание, всё супер",5
Все шикарно,5
Готовят очень вкусно. Нравится сырная пицца,5
"Была в вашем кафе, в порции было мало колбасы и сыра, много теста",3
